state,state_abbreviation,county,fips,party,candidate,votes,fraction_votes
Alabama,AL,autauga,1001,Democrat,Bernie Sanders,544,0.182
Alabama,AL,autauga,1001,Democrat,Hillary Clinton,2387,0.8
Alabama,AL,baldwin,1003,Democrat,Bernie Sanders,2694,0.3289999999999999
Alabama,AL,baldwin,1003,Democrat,Hillary Clinton,5290,0.647
Alabama,AL,barbour,1005,Democrat,Bernie Sanders,222,0.078
Alabama,AL,barbour,1005,Democrat,Hillary Clinton,2567,0.906
Alabama,AL,bibb,1007,Democrat,Bernie Sanders,246,0.1969999999999999
Alabama,AL,bibb,1007,Democrat,Hillary Clinton,942,0.755
Alabama,AL,blount,1009,Democrat,Bernie Sanders,395,0.386
Alabama,AL,blount,1009,Democrat,Hillary Clinton,564,0.551
Alabama,AL,bullock,1011,Democrat,Bernie Sanders,178,0.066
Alabama,AL,bullock,1011,Democrat,Hillary Clinton,2451,0.913
Alabama,AL,butler,1013,Democrat,Bernie Sanders,156,0.065
Alabama,AL,butler,1013,Democrat,Hillary Clinton,2196,0.921
Alabama,AL,calhoun,1015,Democrat,Bernie Sanders,1425,0.218
Alabama,AL,calhoun,1015,Democrat,Hillary Clinton,5011,0.765
Alabama,AL,chambers,1017,Democrat,Bernie Sanders,312,0.095
Alabama,AL,chambers,1017,Democrat,Hillary Clinton,2899,0.8859999999999999
Alabama,AL,cherokee,1019,Democrat,Bernie Sanders,268,0.249
Alabama,AL,cherokee,1019,Democrat,Hillary Clinton,712,0.6609999999999999
Alabama,AL,chilton,1021,Democrat,Bernie Sanders,289,0.246
Alabama,AL,chilton,1021,Democrat,Hillary Clinton,860,0.731
Alabama,AL,choctaw,1023,Democrat,Bernie Sanders,273,0.124
Alabama,AL,choctaw,1023,Democrat,Hillary Clinton,1772,0.802
Alabama,AL,clarke,1025,Democrat,Bernie Sanders,213,0.063
Alabama,AL,clarke,1025,Democrat,Hillary Clinton,3148,0.93
Alabama,AL,clay,1027,Democrat,Bernie Sanders,135,0.1369999999999999
Alabama,AL,clay,1027,Democrat,Hillary Clinton,807,0.818
Alabama,AL,cleburne,1029,Democrat,Bernie Sanders,72,0.238
Alabama,AL,cleburne,1029,Democrat,Hillary Clinton,221,0.732
Alabama,AL,coffee,1031,Democrat,Bernie Sanders,389,0.201
Alabama,AL,coffee,1031,Democrat,Hillary Clinton,1493,0.772
Alabama,AL,colbert,1033,Democrat,Bernie Sanders,1342,0.225
Alabama,AL,colbert,1033,Democrat,Hillary Clinton,3879,0.65
Alabama,AL,conecuh,1035,Democrat,Bernie Sanders,544,0.191
Alabama,AL,conecuh,1035,Democrat,Hillary Clinton,2031,0.7140000000000001
Alabama,AL,coosa,1037,Democrat,Bernie Sanders,125,0.108
Alabama,AL,coosa,1037,Democrat,Hillary Clinton,1012,0.877
Alabama,AL,covington,1039,Democrat,Bernie Sanders,188,0.1969999999999999
Alabama,AL,covington,1039,Democrat,Hillary Clinton,737,0.773
Alabama,AL,crenshaw,1041,Democrat,Bernie Sanders,107,0.103
Alabama,AL,crenshaw,1041,Democrat,Hillary Clinton,908,0.878
Alabama,AL,cullman,1043,Democrat,Bernie Sanders,723,0.345
Alabama,AL,cullman,1043,Democrat,Hillary Clinton,1275,0.608
Alabama,AL,dale,1045,Democrat,Bernie Sanders,415,0.207
Alabama,AL,dale,1045,Democrat,Hillary Clinton,1544,0.77
Alabama,AL,dallas,1047,Democrat,Bernie Sanders,1774,0.154
Alabama,AL,dallas,1047,Democrat,Hillary Clinton,8577,0.7440000000000001
Alabama,AL,dekalb,1049,Democrat,Bernie Sanders,667,0.3229999999999999
Alabama,AL,dekalb,1049,Democrat,Hillary Clinton,1297,0.629
Alabama,AL,elmore,1051,Democrat,Bernie Sanders,694,0.184
Alabama,AL,elmore,1051,Democrat,Hillary Clinton,3019,0.8009999999999999
Alabama,AL,escambia,1053,Democrat,Bernie Sanders,226,0.099
Alabama,AL,escambia,1053,Democrat,Hillary Clinton,2027,0.885
Alabama,AL,etowah,1055,Democrat,Bernie Sanders,1289,0.226
Alabama,AL,etowah,1055,Democrat,Hillary Clinton,4262,0.746
Alabama,AL,fayette,1057,Democrat,Bernie Sanders,148,0.172
Alabama,AL,fayette,1057,Democrat,Hillary Clinton,660,0.767
Alabama,AL,franklin,1059,Democrat,Bernie Sanders,767,0.301
Alabama,AL,franklin,1059,Democrat,Hillary Clinton,1233,0.484
Alabama,AL,geneva,1061,Democrat,Bernie Sanders,157,0.216
Alabama,AL,geneva,1061,Democrat,Hillary Clinton,544,0.7490000000000001
Alabama,AL,greene,1063,Democrat,Bernie Sanders,213,0.071
Alabama,AL,greene,1063,Democrat,Hillary Clinton,2714,0.901
Alabama,AL,hale,1065,Democrat,Bernie Sanders,427,0.14
